tconst,primaryTitle,originalTitle,year,runtimeMinutes,genres
tt10295596,White Nights,White Nights,2018,97,"Crime,Mystery"
tt10298770,The Flavor,The Flavor,2018,62,Comedy
tt10299162,The True Story of the Electric Cinema Club,The True Story of the Electric Cinema Club,2018,45,Documentary
tt10301936,Footsteps,Footsteps,2018,6,Documentary
tt10305510,Jazz Club,Jazz Club,2018,110,Drama
tt10306268,Pantanal - A Boa Inocência de Nossas Origens,Pantanal - A Boa Inocência de Nossas Origens,2018,75,Documentary
tt10307786,Ako,Ako,2018,82,Drama
tt10309212,Qaranliq,Qaranliq,2018,75,"Crime,Drama,Mystery"
tt10312956,Khatemeh,Khatemeh,2018,89,Documentary
tt10314982,Befaam,Befaam,2018,148,"Comedy,Drama,Romance"
tt10315322,Itaca nel Sole. Cercando Gian Piero Motti,Itaca nel Sole. Cercando Gian Piero Motti,2018,76,Documentary
tt10317922,Dominic,Dominic,2018,7,Drama
tt10319510,Storia di un libro a fumetti,Storia di un libro a fumetti,2018,65,"Biography,Documentary"
tt10319778,Homeless at Christmas,Homeless at Christmas,2018,86,Documentary
tt10322734,Zor Oyun: Kapanmayan Hesap,Zor Oyun: Kapanmayan Hesap,2018,52,Action
tt10322784,El Encanto de la Oscuridad: Parte 2,El Encanto de la Oscuridad: Parte 2,2018,97,"Adventure,Fantasy,Mystery"
tt10322976,Gross Century,Gross Century,2018,138,History
tt10323528,Quaffer,Quaffer,2018,88,Comedy
tt10324120,Monster Undersea 2,Shen hai ju yao 2,2018,78,"Adventure,Fantasy"
tt10324168,Parasocial Hell,Parasocial Hell,2018,115,Documentary
tt10324308,Masters of Cheese,Masters of Cheese,2018,52,Documentary
tt10324828,Come vincere la guerra,Come vincere la guerra,2018,50,"Documentary,War"
tt10326932,San Cipriano Road,San Cipriano Road,2018,67,"Biography,Documentary,Drama"
tt10329432,Hombre en la llanura,Hombre en la llanura,2018,76,Documentary
tt10331100,Half the Sky,Half the Sky,2018,99,Drama
tt10331478,Mysterious Raiders,Mysterious Raiders,2018,90,"Comedy,Fantasy,Mystery"
tt10332416,Oil Capital Underground: The Genesis & Evolution of Punk Rock in Tulsa-Late 70's to Mid 90's,Oil Capital Underground: The Genesis & Evolution of Punk Rock in Tulsa-Late 70's to Mid 90's,2018,126,Documentary
tt10333742,The Undead Detective,The Undead Detective,2018,62,Mystery
tt10334038,Out of plastic,Out of plastic,2018,52,Documentary
tt10334302,Loss won't pay the bills,Loss won't pay the bills,2018,63,Documentary
tt10334402,Democracy on the highway of Saveh,Democracy on the highway of Saveh,2018,44,Documentary
tt10334770,Dream Journey 4: Biography of Demon,Da meng xi you 4,2018,99,"Adventure,Fantasy"
tt10339932,Miniforce X,Miniforce X,2018,68,Animation
tt10340664,An Excursion - From the archives of Kaagaz Ki Kashti,An Excursion - From the archives of Kaagaz Ki Kashti,2018,176,Documentary
tt10340820,Anori,Anori,2018,85,Drama
tt10341190,Chidi Balla,Chidi Balla,2018,112,"Comedy,Drama,Family"
tt10341226,Il destino degli uomini,Il destino degli uomini,2018,71,Drama
tt10341388,Bulli e pupe,Bulli e pupe,2018,76,"Documentary,History"
tt10341996,Uno sguardo alla Terra,Uno sguardo alla Terra,2018,100,Documentary
tt10343912,In the Shadow of the Shard,In the Shadow of the Shard,2018,47,Documentary
tt1034415,Suspiria,Suspiria,2018,152,"Fantasy,Horror,Mystery"
tt10350244,My Dear Friend,My Dear Friend,2018,106,Drama
tt10353736,Fa Hai,Fa Hai,2018,95,"Action,Drama,Fantasy"
tt10353762,Zagros,Zagros,2018,58,Documentary
tt10358574,Oh! Squints III,Oh! Squints III,2018,122,Family
tt10360544,Temporary Visa,Temporary Visa,2018,123,"Crime,Drama"
tt10360970,Our Most Brilliant Friends,Our Most Brilliant Friends,2018,67,Documentary
tt10366464,Blind Spot,Blind Spot,2018,90,"Drama,Thriller"
tt10368582,Chinnada Gombe,Chinnada Gombe,2018,110,Horror
tt10369580,There Will Be Ample Time,There Will Be Ample Time,2018,87,"Comedy,Drama"
tt10372542,Mysterious Ends - Kamal Al-Sananiri,Mysterious Ends - Kamal Al-Sananiri,2018,48,Documentary
tt10375952,Nini Thowok,Nini Thowok,2018,75,Horror
tt10376478,Nature Cat: The Return of Bad Dog Bart,Nature Cat: The Return of Bad Dog Bart,2018,56,Animation
tt10378660,The Dark Knight: The Ballad of the N Word,The Dark Knight: The Ballad of the N Word,2018,129,"Comedy,Drama"
tt10381046,Alt hva fedrene har kjempet,Alt hva fedrene har kjempet,2018,90,Documentary
tt10383542,Switched,Hoan Doi,2018,96,Comedy
tt10383726,Lo Mat,Lo Mat,2018,91,Comedy
tt10384130,Fight Back to School,Truong Hoc Ba Vuong,2018,99,"Action,Comedy"
tt10384542,The Realm Beyond Reason,The Realm Beyond Reason,2018,8,"Animation,Comedy,Horror"
tt10385482,Dash Akol,Dash Akol,2018,85,"Drama,Romance"
tt10389002,The rug,The rug,2018,60,Documentary
tt10390368,The Next Episode,The Next Episode,2018,140,Comedy
tt10392666,Sessiz ol,Sessiz ol,2018,79,"Horror,Thriller"
tt10392720,Krona 3 the Froggy Case,Krona 3 the Froggy Case,2018,80,"Animation,Fantasy,Horror"
tt10393810,Good Piping,Good Piping,2018,90,Documentary
tt10394144,Think Again,Think Again,2018,8,\N
tt10395010,Love to the End,Love to the End,2018,50,Documentary
tt10396038,Neither hero nor traitor,Neither hero nor traitor,2018,73,"Drama,History"
tt10398648,No te mueras nunca,No te mueras nunca,2018,90,Documentary
tt10399736,Fagot,Fagot,2018,61,Comedy
tt10400212,Carrasca,Carrasca,2018,71,Documentary
tt10400364,Winter Light Revisited,Långfilm 136,2018,77,Documentary
tt10402572,Unbroken,Unbroken,2018,104,Drama
tt10403876,Hero Hot Blooded,Hero Hot Blooded,2018,70,"Comedy,War"
tt10404228,Mitologia 1,Mitologia 1,2018,83,Drama
tt10404702,Coming and Going,Coming and Going,2018,81,Documentary
tt10404798,Mitologia 2,Mitologia 2,2018,77,Drama
tt10404916,Colour of Love,Colour of Love,2018,76,Drama
tt10404934,Abbundanza,Abbundanza,2018,52,Drama
tt10405056,La Musa,La Musa,2018,74,Drama
tt10406518,Management Gaps,Management Gaps,2018,52,Comedy
tt10408656,En armé av älskande,En armé av älskande,2018,72,Documentary
tt10409742,Muse e Dei,Muse e Dei,2018,78,Documentary
tt10411954,Hometown Killer,Hometown Killer,2018,87,Thriller
tt10413774,Gennithike noris,Gennithike noris,2018,49,"Biography,Documentary"
tt10413842,Von Neonazis und Superhelden - Die Kleinstadt Themar und der Rechtsrock,Von Neonazis und Superhelden - Die Kleinstadt Themar und der Rechtsrock,2018,56,Documentary
tt10415714,Tension Thai Gayu,Tension Thai Gayu,2018,131,"Comedy,Drama"
tt10415842,Das stille Leuchten - Die Wiedereroberung der Gegenwart,Das stille Leuchten - Die Wiedereroberung der Gegenwart,2018,88,Documentary
tt10417946,The Superfood Chain,The Superfood Chain,2018,70,Documentary
tt10422784,The Hoy Boys,The Hoy Boys,2018,72,"Biography,Comedy,Documentary"
tt10422832,Ephemeral Eternity,Ephemeral Eternity,2018,77,Romance
tt10423600,Super Luigi Thunder: The First Epic Movie,Super Luigi Thunder: The First Epic Movie,2018,54,Comedy
tt10427088,2350 Last Call: The Neo Story,2350 Last Call: The Neo Story,2018,46,Documentary
tt10428316,Natsamrat,Natsamrat,2018,130,Drama
tt10432994,Shen hai ju yao,Shen hai ju yao,2018,74,Fantasy
tt10433378,MA.AMA,Moan,2018,124,Drama
tt10433620,Silvia,Silvia,2018,103,Documentary
tt10435066,Thuisland,Thuisland,2018,45,Documentary
tt10436498,Magic Bath,Magic Bath,2018,9,Documentary
tt10436572,Hymne migratoire,Hymne migratoire,2018,60,Documentary
tt10437814,Asphyxia,Asphyxia,2018,88,Drama
tt10438212,Purple Horse,Purple Horse,2018,46,Documentary
tt10438284,My VR Girlfriend,Wo de VR nv you,2018,65,Romance
tt10443580,Anpanman: Shine! Kurun & The Star of Life,Anpanman: Shine! Kurun & The Star of Life,2018,62,\N
